stop_lat,stop_code,stop_lon,timepoint,stop_url,stop_id,stop_desc,stop_name,location_type,zone_id
43.026009,1629,-88.0170431,0,,1629,,S84 & ADLER,0,
43.0237682,1628,-88.017048,0,,1628,,S84 & SCHLINGER,0,
42.945119,3992,-87.9492625,0,,3992,,S27 & GRANGE,0,
42.994263,7145,-87.9189805,0,,7145,,S6 & ROSEDALE,0,
43.0829389,1989,-87.9209655,0,,1989,,ATKINSON & N8,0,
42.9920712,7146,-87.9190486,0,,7146,,S6 & DAKOTA,0,
42.9589156,1170,-88.0079507,1,,1170,,S76 & LAYTON,0,
43.0030085,7140,-87.9188464,0,,7140,,S6 & LINCOLN,0,
42.9903143,1438,-87.8851952,0,,1438,,KK & RUSK,0,
42.9883923,1439,-87.8837127,1,,1439,,KK & OKLAHOMA,0,
43.0004093,1199,-87.9486016,1,,1199,,FOREST HOME & S27,0,
42.9989984,1198,-87.9508113,0,,1198,,FOREST HOME & S29,0,
43.11628,1365,-87.9018026,0,,1365,,MARLBOROUGH & BIRCH,0,
42.9902728,1191,-87.9657102,0,,1191,,FOREST HOME & S41,0,
42.9595089,5451,-87.9783238,0,,5451,,LAYTON & S51,0,
42.9930914,1193,-87.9609941,0,,1193,,FOREST HOME & S37,0,
42.9916214,1192,-87.9634404,0,,1192,,FOREST HOME & S39,0,
42.9958879,1195,-87.95606,0,,1195,,FOREST HOME & LEEDS,0,
42.9944908,1194,-87.9583755,0,,1194,,FOREST HOME & S35,0,
42.9979971,1197,-87.9524475,0,,1197,,FOREST HOME & S31,0,
42.9594497,5457,-87.9982129,0,,5457,,LAYTON & S68,0,
43.1461758,6566,-87.913273,0,,6566,,PORT WASHINGTON & SUGARLANE,0,
43.0181877,1758,-87.9828255,0,,1758,,NATIONAL & S56,0,
43.0172954,1756,-87.9877293,0,,1756,,NATIONAL & S60,0,
43.0527409,1874,-87.9143557,0,,1874,,DR. MLK DRIVE & WALNUT,0,
43.016618,1753,-87.9934854,0,,1753,,GREENFIELD & S65,0,
43.0166186,1752,-87.9977224,0,,1752,,GREENFIELD & W6767,0,
43.0168046,1751,-87.9930148,0,,1751,,GREENFIELD & S65,0,
43.0854972,4259,-87.9669617,0,,4259,,SHERMAN & ROOSEVELT,0,
42.9717076,1176,-87.9958233,0,,1176,,FOREST HOME & W6563,0,
42.9700791,1175,-87.9983512,0,,1175,,FOREST HOME & S68,0,
42.9681177,1174,-88.0014922,0,,1174,,FOREST HOME & PLAINFIELD,0,
42.9668641,1173,-88.0035236,0,,1173,,FOREST HOME & COLD SPRING,0,
42.9663699,1172,-88.0078427,1,,1172,,S76 & COLD SPRING,0,
43.1779645,6970,-88.024086,1,,6970,,BROWN DEER & N91,0,
43.1778918,6971,-88.0283364,0,,6971,,BROWN DEER & N95,0,
43.0733373,4251,-87.9672209,0,,4251,,SHERMAN & CHAMBERS,0,
43.071418,4250,-87.9671724,0,,4250,,SHERMAN & LOCUST,0,
43.0749398,4252,-87.9672013,1,,4252,,SHERMAN & BURLEIGH,0,
43.07897,4255,-87.9671122,0,,4255,,SHERMAN & CONCORDIA,0,
43.0416639,9519,-87.9145819,0,,9519,,DR. MLK DRIVE & KILBOURN,0,
43.0821583,4257,-87.9670623,1,,4257,,SHERMAN & FONDDULAC,0,
42.9736342,1178,-87.9928647,0,,1178,,FOREST HOME & HOWARD,0,
43.052745,5533,-87.9336263,1,,5533,,WALNUT & N17,0,
43.0527253,5531,-87.9297961,0,,5531,,WALNUT & N14,0,
43.0527428,5530,-87.9268396,0,,5530,,WALNUT & N12,0,
43.0528175,5537,-87.9425865,0,,5537,,WALNUT & N24,0,
43.0527697,5535,-87.9375559,0,,5535,,WALNUT & N20,0,
43.0677276,510,-87.9257429,1,,510,,CENTER & N11,0,
43.0535379,5539,-87.9473939,1,,5539,,LISBON & N27,0,
43.0532687,5538,-87.9450425,0,,5538,,LISBON & N25,0,
42.9589394,1285,-87.8599749,1,,1285,,PACKARD & LAYTON,0,
42.9571656,1284,-87.859936,0,,1284,,PACKARD & BARNARD,0,
42.9601281,1287,-87.8634999,0,,1287,,PLANKINTON & KK,0,
42.9601213,1286,-87.861897,1,,1286,,PLANKINTON & PACKARD,0,
